Sample_ID,Conc,Cut,Tissue,Germ_layer,Gastrulation,Mesoderm_plate,Layer,
PD43947g_lo0006,18.05,KIDNEY_TUB2,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947g_lo0011,11.384,KIDNEY_TUB4,KIDNEY,MESODERM,POST_GASTRULATION,NON_LATERAL_PLATE_MESODERM,INTERMEDIATE_MESODERM,
PD43947f_lo0004,18.777,MESENCORE2,MESENCHYME,EXTRA_EMBRYONIC_MESODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,EXTRA_EMBRYONIC_MESODERM,
PD43947f_lo0039,8.638,MESENCORE15,MESENCHYME,EXTRA_EMBRYONIC_MESODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,EXTRA_EMBRYONIC_MESODERM,
PD43947f_lo0015,8.29,MESENCORE6,MESENCHYME,EXTRA_EMBRYONIC_MESODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,EXTRA_EMBRYONIC_MESODERM,
PD43947f_lo0013,5.238,MESENCORE4,MESENCHYME,EXTRA_EMBRYONIC_MESODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,EXTRA_EMBRYONIC_MESODERM,
PD43947f_lo0035,4.952,MESENCORE13,MESENCHYME,EXTRA_EMBRYONIC_MESODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,EXTRA_EMBRYONIC_MESODERM,
PD43947h_lo0001,51.776,PLACENTA_1,PLACENTAL_HSPC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
PD43947f_lo0037,103.308,TROPH23,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0034,60.476,TROPH22,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0008,48.093,TROPH5,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0024,35.473,TROPH16,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0006,31.531,TROPH3,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0016,23.422,TROPH10,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0023,17.175,TROPH15,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0017,14.127,TROPH11,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0007,12.302,TROPH4,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
PD43947f_lo0027,11.015,TROPH18,TROPH,TROPHECTODERM,PRE_GASTRULATION,NON_LATERAL_PLATE_MESODERM,TROPHECTODERM,
